"Designation","Discovery Date (YYYY-MM-DD)","H (mag)","MOID (au)","q (au)","Q (au)","period (yr)","i (deg)","PHA","Orbit Class"
"(2024 FL4)","2024-03-31","21.61","0.097","1.07","3.77","3.76","15.58","N","Amor"
"(2024 ET5)","2024-03-14","20.68","0.238","1.16","4.23","4.42","15.23","N","Amor"
"(2024 EO2)","2024-03-01","19.08","0.195","1.19","4.55","4.86","54.73","N","Amor"
"(2024 AP7)","2024-01-15","19.79","0.224","0.59","2.91","2.31","24.54","N","Apollo"
"(2024 AF6)","2024-01-13","20.67","0.132","0.43","1.02","0.62","15.05","N","Aten"
"(2023 YH2)","2023-12-22","22.45","0.015","0.64","1.15","0.85","9.41","N","Aten"
"(2023 YN1)","2023-12-19","21.03","0.288","1.26","5.11","5.69","18.55","N","Amor"
"(2023 WE3)","2023-11-19","20.72","0.02","0.88","3.33","3.06","7.25","Y","Apollo"
"(2023 WY2)","2023-11-19","18.91","0.239","1.05","7.81","9.33","25.03","N","Amor"
"(2023 VV2)","2023-11-04","23.5","0.028","1.02","2.79","2.63","7.37","N","Amor"
"(2023 UN9)","2023-10-21","20.73","0.152","0.81","1.15","0.97","18.28","N","Aten"
"(2023 QR6)","2023-08-18","18.27","0.29","0.55","4.01","3.44","38.6","N","Apollo"
"(2023 KU5)","2023-05-28","20.74","0.064","0.92","4.17","4.06","14.72","N","Apollo"
"(2023 CE4)","2023-02-12","23.19","0.05","0.94","3.59","3.42","9.16","N","Apollo"
"(2022 YL7)","2022-12-26","20.34","0.201","0.27","2.13","1.32","27.16","N","Apollo"
"(2022 XG2)","2022-12-11","21.05","0.208","0.92","2.62","2.35","27.15","N","Apollo"
"(2022 WO14)","2022-11-29","21.7","0.15","1.14","3.81","3.89","28.57","N","Amor"
"(2022 WY14)","2022-11-24","17.94","0.455","0.55","4.96","4.57","36.94","N","Apollo"
"(2022 VL2)","2022-11-10","20.28","0.259","1.23","3.08","3.16","23.87","N","Amor"
"(2022 TO2)","2022-10-08","20.67","0.166","0.75","3.23","2.81","27.24","N","Apollo"
"(2022 TP2)","2022-10-06","22.17","0.023","0.98","4.17","4.14","16.55","N","Apollo"
"(2022 SQ48)","2022-09-23","21.32","0.234","1.14","4.35","4.55","18.88","N","Amor"
"(2022 PK2)","2022-08-12","19.59","0.18","1.09","4.11","4.19","8.6","N","Amor"
"(2022 PG2)","2022-08-10","22.73","0.033","0.97","4.65","4.72","14.22","N","Apollo"
"(2022 OZ9)","2022-07-24","20.65","0.184","1.18","4.2","4.42","29.2","N","Amor"
"(2022 MK5)","2022-06-27","21.34","0.029","1.04","3.39","3.3","10.82","Y","Amor"
"(2022 KR7)","2022-05-24","22.47","0.15","1.05","4.92","5.16","17.87","N","Amor"
"(2022 JV2)","2022-05-07","20.02","0.103","0.73","5.51","5.52","24.91","N","Apollo"
"(2022 DG1)","2022-02-22","21.18","0.101","0.86","4.75","4.7","19.4","N","Apollo"
"(2021 VB4)","2021-11-02","21.56","0.021","0.97","4.13","4.08","39.07","Y","Apollo"
"(2021 TD32)","2021-10-15","21.92","0.046","0.95","2.33","2.1","25.33","Y","Apollo"
"(2021 QA6)","2021-08-28","20.11","0.041","0.93","6.06","6.53","25.42","Y","Apollo"
"(2021 PN26)","2021-08-11","20.35","0.061","0.31","1.15","0.62","20.34","N","Aten"
"(2021 PM3)","2021-08-04","21.25","0.252","1.26","2.73","2.82","7.17","N","Amor"
"(2021 OC2)","2021-07-16","20.5","0.284","1.29","4.41","4.82","22.76","N","Amor"
"(2021 ND2)","2021-07-06","19.49","0.255","1.1","5.05","5.39","17.77","N","Amor"
"(2021 MP1)","2021-06-16","17.51","0.202","1.21","3.62","3.76","30.56","N","Amor"
"(2021 LD1)","2021-06-02","20.29","0.026","0.99","4.62","4.69","39.26","Y","Apollo"
"(2021 CT5)","2021-02-05","18.85","0.256","1.12","3.29","3.27","37.76","N","Amor"
"(2021 AF4)","2021-01-04","20.9","0.148","0.5","4.27","3.68","8.99","N","Apollo"
"(2020 YG5)","2020-12-28","20.12","0.251","0.72","3.77","3.36","25.4","N","Apollo"
"(2020 WU5)","2020-11-29","18.7","0.042","0.95","1.17","1.09","41.48","Y","Apollo"
"(2020 WT5)","2020-11-29","22.25","0.019","0.98","2.23","2.02","12.4","N","Apollo"
"(2020 WR5)","2020-11-26","20.26","0.228","0.76","2.79","2.37","25.95","N","Apollo"
"(2020 WB5)","2020-11-20","20.51","0.314","1.23","3.24","3.34","22.65","N","Amor"
"(2020 WH2)","2020-11-18","20","0.18","1.04","4.56","4.69","32.77","N","Amor"
"(2020 VA)","2020-11-01","20.79","0.099","1.09","4.45","4.6","18.01","N","Amor"
"(2020 TS2)","2020-10-02","19.04","0.214","0.12","4.88","3.96","20.01","N","Apollo"
"(2020 SP4)","2020-09-20","21.9","0.019","0.97","4.69","4.76","12.84","Y","Apollo"
"(2020 SE4)","2020-09-18","20.41","0.182","1.05","3.59","3.53","17.43","N","Amor"
"(2020 RZ2)","2020-09-06","21","0.139","0.82","2.66","2.3","13.33","N","Apollo"
"(2020 PR6)","2020-08-14","18.63","0.105","0.9","4.41","4.33","27.54","N","Apollo"
"C/2020 P1 (NEOWISE)","2020-08-02","n/a","0.643","0.34","n/a","n/a","45.05","n/a","Hyperbolic Comet"
"(2020 OT7)","2020-07-23","24.09","0.059","1.04","4.08","4.09","17.84","N","Amor"
"(2020 MV)","2020-06-17","23.4","0.052","0.94","2.66","2.42","6.47","N","Apollo"
"(2020 LC2)","2020-06-08","20.94","0.145","1.06","4.43","4.55","17.98","N","Amor"
"(2020 KZ7)","2020-05-31","22.43","0.084","0.91","2.61","2.34","8.53","N","Apollo"
"(2020 JU)","2020-05-06","20.83","0.003","0.86","1.02","0.91","10.7","Y","Aten"
"(2020 HV2)","2020-04-17","19.1","0.237","0.74","4.9","4.74","35.8","N","Apollo"
"C/2020 F3 (NEOWISE)","2020-03-27","n/a","0.363","0.29","716.64","6787.09","128.94","n/a","Comet"
"(2020 BN10)","2020-01-23","20.99","0.047","0.61","1.25","0.89","20.52","Y","Aten"
"(2020 BN11)","2020-01-18","22.3","0.097","0.84","3.29","2.97","7.71","N","Apollo"
"(2019 XU14)","2019-12-12","18.8","0.223","1.12","4.26","4.42","17.8","N","Amor"
"(2019 XV3)","2019-12-06","20.78","0.215","1.16","3.34","3.37","8.36","N","Amor"
"(2019 WQ19)","2019-11-22","20.79","0.028","0.58","2.19","1.63","29.99","Y","Apollo"
"(2019 WH1)","2019-11-18","21.49","0.215","1.05","5.12","5.42","12.94","N","Amor"
"(2019 UT9)","2019-10-17","18.55","0.117","0.83","3.77","3.48","25.67","N","Apollo"
"(2019 OJ)","2019-07-18","18.99","0.262","0.82","5.81","6.04","39.22","N","Apollo"
"(2019 NN7)","2019-07-15","19.3","0.184","0.82","2.82","2.45","18.75","N","Apollo"
"C/2019 L2 (NEOWISE)","2019-06-11","n/a","0.636","1.62","49.66","129.85","152.19","n/a","Halley-type Comet*"
"(2019 KG7)","2019-05-31","19.9","0.244","0.75","3.98","3.64","37.33","N","Apollo"
"(2019 KC)","2019-05-16","22.36","0.019","0.97","4.68","4.74","7.67","N","Apollo"
"(2019 JR7)","2019-05-07","22.04","0.009","0.99","3.57","3.44","28.27","N","Apollo"
"(2019 HL)","2019-04-20","19.69","0.296","1.14","3.29","3.29","20","N","Amor"
"(2019 HF3)","2019-04-18","19.95","0.118","0.64","1.28","0.94","31.33","N","Aten"
"C/2019 H1 (NEOWISE)","2019-04-18","n/a","0.865","1.84","470.82","3633.22","104.58","n/a","Comet"
"(2019 DD2)","2019-02-23","21.16","0.049","1","3.09","2.92","36.56","Y","Apollo"
"(2019 DF2)","2019-02-18","20.9","0.183","0.7","4.89","4.68","32.47","N","Apollo"
"(2019 AN13)","2019-01-13","20.69","0.248","1.14","3.41","3.43","10.55","N","Amor"
"(2019 AH7)","2019-01-06","23.4","0.049","1.02","3.76","3.7","6.86","N","Amor"
"(2018 YE2)","2018-12-21","19.95","0.134","1.07","3.48","3.44","24.02","N","Amor"
"(2018 XY3)","2018-12-07","19.72","0.041","0.8","3.4","3.05","20.29","Y","Apollo"
"(2018 WE3)","2018-11-27","20.95","0.025","0.92","4.53","4.51","8.71","Y","Apollo"
"(2018 WD1)","2018-11-24","24.54","0.027","1.01","1.33","1.27","14.09","N","Apollo"
"(2018 VQ9)","2018-11-11","20.97","0.062","0.97","4.63","4.68","22.09","N","Apollo"
"(2018 VL7)","2018-11-02","20.92","0.124","0.88","1.33","1.17","12.92","N","Apollo"
"(2018 TO6)","2018-10-15","20.5","0.297","1.18","4.28","4.52","12.23","N","Amor"
"(2018 RW27)","2018-09-15","19.98","0.276","1.28","4.26","4.62","9.1","N","Amor"
"(2018 QT1)","2018-08-28","22.05","0.033","0.27","1.05","0.53","7.91","N","Aten"
"(2018 PF22)","2018-08-11","20.36","0.36","0.45","4.29","3.66","22.77","N","Apollo"
"(2018 NT1)","2018-07-07","21.95","0.121","1.1","3.19","3.15","9.69","N","Amor"
"C/2018 N1 (NEOWISE)","2018-07-02","n/a","0.292","1.31","842.62","8668.07","159.44","n/a","Comet"
"(2018 ML8)","2018-06-18","21.9","0.108","1.12","3.14","3.11","8.58","N","Amor"
"(2018 LK2)","2018-06-02","19.75","0.068","0.96","2.51","2.29","19.5","N","Apollo"
"(2018 KK2)","2018-05-17","18.13","0.29","1.29","4.47","4.89","14.11","N","Amor"
"(2018 JW1)","2018-05-07","22.4","0.059","0.91","3.13","2.87","10.55","N","Apollo"
"(2018 GA)","2018-04-01","20.22","0.111","0.99","2.63","2.44","23.95","N","Apollo"
"(2018 EC9)","2018-03-14","24.1","0.021","1.01","2.83","2.66","2.42","N","Apollo"
"(2018 EQ4)","2018-03-13","19.57","0.099","0.87","3.15","2.85","11.26","N","Apollo"
"C/2018 EN4 (NEOWISE)","2018-03-09","n/a","0.568","1.45","35.4","79.09","81.56","n/a","Halley-type Comet*"
"(2018 EB)","2018-03-01","21.88","0.01","1","1.03","1.03","29.44","Y","Apollo"
"(2018 CQ1)","2018-02-03","21","0.222","0.61","2.28","1.73","19.03","N","Apollo"
"(2018 AE3)","2018-01-10","21.27","0.075","1.05","4.1","4.13","12.63","N","Amor"
"(2017 YA7)","2017-12-17","20.81","0.2","0.78","4.68","4.52","19.07","N","Apollo"
"(2017 YN3)","2017-12-16","19.11","0.104","1.08","4.06","4.13","60.32","N","Amor"
"(2017 VT14)","2017-11-13","23.1","0.003","0.99","6.05","6.6","7.41","N","Apollo"
"(2017 VT)","2017-11-03","20.68","0.05","0.97","5.07","5.26","16.08","N","Apollo"
"(2017 UQ4)","2017-10-22","23.85","0.067","1.02","4.37","4.43","11.68","N","Amor"
"(2017 TQ3)","2017-10-06","20.43","0.17","0.79","4.91","4.81","16.47","N","Apollo"
"(2017 SY32)","2017-09-29","21.11","0.041","0.65","1.65","1.23","26.04","Y","Apollo"
"(2017 SH33)","2017-09-25","18.4","0.244","1.23","2.06","2.11","61.63","N","Amor"
"(2017 RN17)","2017-09-10","21.7","0.127","0.79","4.46","4.25","19.83","N","Apollo"
"678263 (2017 QP17)","2017-08-20","19.58","0.358","0.62","1.67","1.23","24.22","N","Apollo"
"(2017 QC36)","2017-08-18","20.7","0.022","0.56","1.04","0.71","17.36","Y","Aten"
"(2017 OP68)","2017-07-25","21","0.051","1.03","3.96","3.94","14.75","N","Amor"
"(2017 MD9)","2017-06-27","19.95","0.168","0.81","4.66","4.53","24.05","N","Apollo"
"(2017 LU)","2017-06-08","18.55","0.036","1.05","4.22","4.27","9.93","Y","Amor"
"(2017 KO34)","2017-05-28","21.12","0.104","0.5","2.17","1.54","32.13","N","Apollo"
"(2017 KO31)","2017-05-17","23.3","0.161","1.08","4.87","5.13","10.36","N","Amor"
"(2017 FU158)","2017-03-26","18.87","0.289","1.19","6.25","7.17","23.84","N","Amor"
"(2017 FL127)","2017-03-24","22.9","0.041","0.99","4.04","3.98","22.45","N","Apollo"
"(2017 FP64)","2017-03-20","18.49","0.292","1.29","5.11","5.73","15.95","N","Amor"
"(2017 CM32)","2017-02-07","20.02","0.032","0.75","5.24","5.19","16.42","Y","Apollo"
"C/2017 C1 (NEOWISE)","2017-02-06","n/a","0.914","1.5","40.11","94.89","65.75","n/a","Halley-type Comet*"
"(2017 BA30)","2017-01-25","20.37","0.148","1.1","2.8","2.73","30.1","N","Amor"
"(2017 AP20)","2017-01-14","17.93","0.211","0.72","5.03","4.89","13.86","N","Apollo"
"(2017 AQ20)","2017-01-10","17.61","0.393","0.61","7.35","7.94","50.71","N","Apollo"
"(2017 AG21)","2017-01-05","21.1","0.036","0.96","1.2","1.12","12.99","Y","Apollo"
"(2016 YN13)","2016-12-28","20.7","0.256","1.23","4","4.23","11.4","N","Amor"
"(2016 YF8)","2016-12-22","22.45","0.068","0.92","1.41","1.26","7.78","N","Apollo"
"(2016 XK24)","2016-12-11","16.27","0.597","1.25","305.16","1896.28","145.5","N","Amor"
"(2016 XY23)","2016-12-06","20.49","0.221","1.2","4.39","4.67","28.14","N","Amor"
"(2016 WF9)","2016-11-27","20.08","0.01","0.96","4.74","4.81","15.18","Y","Apollo"
"(2016 WN55)","2016-11-18","24.34","0.006","0.97","1","0.98","0.5","N","Aten"
"(2016 VM6)","2016-11-14","20.09","0.439","1.24","3.84","4.04","26.7","N","Amor"
"(2016 VK6)","2016-11-14","22.45","0.049","1.01","1.67","1.55","7.74","N","Apollo"
"(2016 UA107)","2016-10-22","20.8","0.328","0.61","4.83","4.49","26.97","N","Apollo"
"C/2016 U1 (NEOWISE)","2016-10-21","n/a","0.589","0.32","n/a","n/a","46.43","n/a","Hyperbolic Comet"
"(2016 TJ18)","2016-10-05","20.56","0.019","1","3.81","3.74","17.72","Y","Apollo"
"(2016 SH45)","2016-09-30","19.17","0.236","1.16","4.35","4.57","8.97","N","Amor"
"(2016 SG45)","2016-09-28","19.21","0.18","1.16","3.19","3.21","29.21","N","Amor"
"(2016 QM11)","2016-08-25","18.24","0.146","0.77","4.78","4.63","19.21","N","Apollo"
"(2016 QU1)","2016-08-21","19.2","0.246","0.21","4.25","3.33","23.32","N","Apollo"
"(2016 PG67)","2016-08-05","22.17","0.234","1.13","4.27","4.44","13.43","N","Amor"
"(2016 OY2)","2016-07-29","19.04","0.064","0.91","2.48","2.21","22.34","N","Apollo"
"(2016 KL1)","2016-05-22","21.09","0.025","0.65","1.15","0.86","18.14","Y","Aten"
"(2016 JU38)","2016-05-11","19.58","0.146","0.79","3.73","3.4","40.21","N","Apollo"
"(2016 HN3)","2016-04-22","21.38","0.033","0.95","3.34","3.15","19.35","Y","Apollo"
"(2016 GB241)","2016-04-13","19.14","0.253","1.26","5.23","5.85","15.28","N","Amor"
"(2016 GU216)","2016-04-10","18.46","0.279","0.69","4.23","3.86","20.77","N","Apollo"
"(2016 FO12)","2016-03-25","22.35","0.003","0.96","4.09","4.02","4.21","N","Apollo"
"(2016 DL)","2016-02-18","21.34","0.047","0.38","1.05","0.6","23.85","Y","Aten"
"C/2016 C2 (NEOWISE)","2016-02-08","n/a","0.632","1.56","126.48","512.23","38.16","n/a","Comet"
"676362 (2016 FG15)","2016-02-06","19.96","0.225","0.76","4.23","3.94","16.64","N","Apollo"
"(2016 BC14)","2016-01-23","20.98","0.013","0.71","1.03","0.81","8.37","Y","Aten"
"C/2016 B1 (NEOWISE)","2016-01-17","n/a","2.201","3.21","839.95","8656.16","50.48","n/a","Comet"
"(2016 AA10)","2016-01-05","20.29","0.044","0.92","2.84","2.58","12.66","Y","Apollo"
"(2016 AZ8)","2016-01-03","21.07","0.029","0.85","1.79","1.52","5.59","Y","Apollo"
"(2015 YC18)","2015-12-26","24.99","0.052","0.92","1.81","1.6","5.42","N","Apollo"
"C/2015 YG1 (NEOWISE)","2015-12-17","n/a","1.555","2.07","32.26","71.14","57.34","n/a","Halley-type Comet*"
"C/2015 X8 (NEOWISE)","2015-12-14","n/a","0.217","1.19","37.91","86.44","155.28","n/a","Halley-type Comet*"
"537829 (2015 XY378)","2015-12-12","19.51","0.197","0.36","1.06","0.6","13.92","N","Aten"
"(2015 XB130)","2015-12-03","21.51","0.056","1.01","4.27","4.29","12.53","N","Apollo"
"(2015 WM16)","2015-11-30","21.48","0.059","0.89","4.63","4.58","32.41","N","Apollo"
"(2015 VZ145)","2015-11-13","23.63","0.015","0.98","3.28","3.1","2.74","N","Apollo"
"(2015 US81)","2015-10-29","18.79","0.555","1.29","4.25","4.61","53.64","N","Amor"
"(2015 TK237)","2015-10-08","22.42","0.038","0.91","3.15","2.9","11.66","N","Apollo"
"(2015 SF20)","2015-09-30","19.59","0.053","0.94","3.31","3.11","5.97","N","Apollo"
"(2015 SS20)","2015-09-23","22.12","0.03","1.01","2.08","1.92","11.47","N","Apollo"
"(2015 RR150)","2015-09-14","19.63","0.026","1.02","3.05","2.91","42.16","Y","Amor"
"(2015 RS83)","2015-09-12","19.29","0.157","0.65","4.93","4.67","11.64","N","Apollo"
"(2015 RA36)","2015-09-08","19.82","0.047","0.93","4.27","4.2","34.5","Y","Apollo"
"(2015 QM3)","2015-08-19","20.38","0.06","0.33","1.08","0.59","16.15","N","Aten"
"(2015 OS35)","2015-07-22","19.02","0.261","1.08","3.42","3.38","18.52","N","Amor"
"(2015 OA22)","2015-07-18","19.82","0.067","1.07","5.94","6.57","45.43","N","Amor"
"(2015 MQ130)","2015-06-22","20.9","0.27","1.03","3.38","3.28","40.21","N","Amor"
"(2015 KH157)","2015-05-27","19.89","0.015","0.84","2.75","2.4","21.55","Y","Apollo"
"(2015 KL157)","2015-05-21","18.68","0.003","1.01","4.28","4.3","35.52","Y","Apollo"
"417P/NEOWISE","2015-05-15","n/a","0.497","1.49","5.21","6.13","8.13","n/a","Jupiter-family Comet"
"(2015 JF11)","2015-05-13","21.4","0.056","0.88","1.09","0.98","5.1","N","Aten"
"(2015 HF11)","2015-04-17","19.28","0.227","1.22","2.98","3.04","35.07","N","Amor"
"(2015 GJ46)","2015-04-11","19.3","0.236","0.67","5.13","4.93","18.26","N","Apollo"
"(2015 GK50)","2015-04-05","19.92","0.228","1.01","5.11","5.36","19.06","N","Apollo"
"(2015 FU332)","2015-03-31","17.23","0.261","0.68","4.6","4.29","35.88","N","Apollo"
"620091 (2015 FD341)","2015-03-27","17.73","0.124","0.31","1.6","0.93","20.54","N","Aten"
"(2015 FT344)","2015-03-23","20.12","0.204","1.09","4.01","4.08","12.54","N","Amor"
"(2015 FE120)","2015-03-23","21.01","0.022","1.02","3.49","3.39","22.66","Y","Amor"
"(2015 FY117)","2015-03-20","20.12","0.15","1.14","2.89","2.87","24.36","N","Amor"
"(2015 DX198)","2015-02-17","21.93","0.076","1.02","2.26","2.1","11.05","N","Amor"
"(2015 BY516)","2015-01-30","20.02","0.151","0.98","4.83","4.96","13.45","N","Apollo"
"(2015 AK280)","2015-01-15","21.59","0.052","0.78","4.53","4.33","11.37","N","Apollo"
"(2015 AY245)","2015-01-14","20.99","0.02","1","1.25","1.2","13.59","Y","Apollo"
"(2015 AC17)","2015-01-03","19.63","0.242","1.22","3.3","3.4","29.19","N","Amor"
"(2014 YR43)","2014-12-26","19.63","0.299","0.97","4.01","3.92","26.45","N","Apollo"
"(2014 YS14)","2014-12-24","21.1","0.143","0.82","4.09","3.84","18.29","N","Apollo"
"(2014 XX31)","2014-12-11","17.23","0.476","0.36","5.28","4.74","35.79","N","Apollo"
"(2014 XX7)","2014-12-10","19.24","0.199","1.19","4.64","4.97","36.65","N","Amor"
"(2014 XQ7)","2014-12-06","20.18","0.312","0.66","4.62","4.28","31.02","N","Apollo"
"(2014 VP35)","2014-11-14","22.82","0.026","0.95","1.98","1.77","9.17","N","Apollo"
"(2014 UF206)","2014-10-31","18.6","0.128","1.1","3.74","3.77","48.06","N","Amor"
"(2014 UG176)","2014-10-25","21.5","0.162","0.78","4.81","4.68","16.43","N","Apollo"
