"Designation","Discovery Date (YYYY-MM-DD)","H (mag)","MOID (au)","q (au)","Q (au)","period (yr)","i (deg)","PHA","Orbit Class"
"(2014 UH210)","2014-10-20","20.61","0.1","0.89","4.31","4.19","22.1","N","Apollo"
"(2014 TW57)","2014-10-10","19.55","0.061","0.57","3.78","3.2","6.74","N","Apollo"
"(2014 TJ64)","2014-10-07","20.62","0.142","1.03","4.19","4.22","14.77","N","Amor"
"520808 (2014 TF64)","2014-10-05","20.01","0.132","0.94","2.29","2.05","52.68","N","Apollo"
"505657 (2014 SR339)","2014-09-30","18.48","0.037","0.9","1.69","1.48","29.79","Y","Apollo"
"(2014 RH12)","2014-09-03","23.33","0.045","1.01","3.35","3.22","7.27","N","Apollo"
"(2014 QK433)","2014-08-28","18.42","0.184","1.2","4.79","5.17","39.17","N","Amor"
"(2014 PF68)","2014-08-15","18.12","0.187","1.18","4.53","4.84","22.56","N","Amor"
"(2014 PC68)","2014-08-08","20.21","0.104","1.09","1.95","1.87","40.68","N","Amor"
"(2014 PP69)","2014-08-05","20","0.459","1.27","41.62","99.31","93.59","N","Amor"
"(2014 OY1)","2014-07-21","19.1","0.057","0.95","4.19","4.13","23.19","N","Apollo"
"(2014 OZ1)","2014-07-20","21","0.295","1.14","4.57","4.82","21.34","N","Amor"
"(2014 NC64)","2014-07-13","19.99","0.2","0.79","3.57","3.22","22.7","N","Apollo"
"(2014 NM64)","2014-07-11","21.6","0.054","1.06","4.63","4.8","28.75","N","Amor"
"(2014 NE64)","2014-07-07","18.89","0.391","1.2","3.01","3.06","41.62","N","Amor"
"C/2014 N3 (NEOWISE)","2014-07-04","n/a","2.888","3.88","11602.47","442086.17","61.64","n/a","Comet"
"(2014 NF3)","2014-07-01","20.26","0.215","0.66","1.94","1.48","13.52","N","Apollo"
"514041 (2014 MQ18)","2014-06-22","15.58","0.196","1.16","4.64","4.94","35.06","N","Amor"
"(2014 LQ25)","2014-06-08","20.17","0.099","0.65","3.39","2.88","33.55","N","Apollo"
"P/2014 L2 (NEOWISE)","2014-06-07","n/a","1.224","2.23","10.42","15.91","5.18","n/a","Jupiter-family Comet"
"(2014 JN57)","2014-05-11","20.63","0.052","1.03","1.45","1.39","28.59","N","Amor"
"(2014 JH57)","2014-05-10","16.27","0.394","0.41","6.24","6.07","25.72","N","Apollo"
"(2014 JL25)","2014-05-04","22.65","0.012","1","4.8","4.94","15.75","N","Apollo"
"(2014 HJ129)","2014-04-24","20.58","0.205","1.12","4.04","4.14","8.44","N","Amor"
"(2014 HQ124)","2014-04-23","18.92","0.007","0.63","1.07","0.78","26.37","Y","Aten"
"(2014 EQ49)","2014-03-15","21.7","0.027","0.91","1.38","1.23","15.16","Y","Apollo"
"(2014 EN45)","2014-03-06","20.94","0.16","1.06","3.82","3.81","14","N","Amor"
"468117 (2014 ED)","2014-03-01","19.18","0.365","0.56","2.53","1.92","21.77","N","Apollo"
"C/2014 C3 (NEOWISE)","2014-02-14","n/a","0.866","1.86","215.01","1129.2","151.78","n/a","Comet"
"(2014 CS34)","2014-02-10","22.86","0.048","0.83","2.22","1.89","3.5","N","Apollo"
"(2014 CF14)","2014-02-07","18.15","0.146","0.83","3.17","2.83","29.45","N","Apollo"
"(2014 CY4)","2014-02-04","20.34","0.044","0.48","4.83","4.33","15.02","Y","Apollo"
"(2014 BG60)","2014-01-25","19.42","0.193","1.12","4.86","5.17","8.55","N","Amor"
"(2014 BE63)","2014-01-23","23.2","0.133","0.75","3.46","3.05","8.57","N","Apollo"
"(2014 AA53)","2014-01-13","19.55","0.143","0.77","3.96","3.65","12.49","N","Apollo"
"(2014 AQ46)","2014-01-02","19.73","0.214","1.14","3.7","3.76","24.67","N","Amor"
"(2013 YP139)","2013-12-29","21.17","0.004","0.76","4.04","3.72","0.82","Y","Apollo"
"539940 (2017 HW1)","2012-10-22","18.01","0.156","1.16","3.12","3.12","33.96","N","Amor"
"(2011 BN59)","2011-01-29","20.46","0.319","1.15","4.96","5.34","20.37","N","Amor"
"(2011 BY24)","2011-01-24","22.88","0.02","0.96","2.82","2.6","13.96","N","Apollo"
"419880 (2011 AH37)","2011-01-07","19.83","0.035","0.84","4.26","4.07","9.66","Y","Apollo"
"(2010 YD3)","2010-12-26","19.68","0.208","1.12","4.05","4.16","24.47","N","Amor"
"(2010 YC1)","2010-12-21","21.22","0.163","0.83","2","1.68","17.66","N","Apollo"
"(2010 XY82)","2010-12-14","19.17","0.294","1.12","3.26","3.24","26.78","N","Amor"
"(2010 XP69)","2010-12-08","20.75","0.015","1","2.05","1.88","14.59","Y","Apollo"
"477762 (2010 XZ67)","2010-12-06","19.74","0.063","1.04","3.08","2.96","11.85","N","Amor"
"(2010 WE9)","2010-11-23","19.97","0.257","1.17","1.94","1.94","42.13","N","Amor"
"(2010 UB8)","2010-10-27","19.25","0.225","1.15","4.85","5.18","31.13","N","Amor"
"(2010 UY6)","2010-10-23","20.11","0.038","1.02","4.28","4.31","19.88","Y","Apollo"
"(2010 TJ181)","2010-10-10","23.14","0.013","1.01","4.09","4.07","19.53","N","Apollo"
"706765 (2010 TK7)","2010-10-01","20.78","0.085","0.81","1.19","1","20.9","N","Aten"
"419624 (2010 SO16)","2010-09-17","20.44","0.031","0.93","1.08","1.01","14.51","Y","Apollo"
"(2010 QA5)","2010-08-29","22.16","0.07","1.07","4.76","4.99","33.41","N","Amor"
"(2010 QE2)","2010-08-25","17.45","0.057","0.88","5.87","6.2","64.72","N","Apollo"
"356394 (2010 QD2)","2010-08-21","17.46","0.061","0.43","3.59","2.85","10.66","N","Apollo"
"(2010 PY75)","2010-08-15","18.5","0.25","0.6","4.72","4.33","31.55","N","Apollo"
"360P/WISE","2010-08-06","n/a","0.857","1.86","5.55","7.13","24.08","n/a","Jupiter-family Comet"
"(2010 PC73)","2010-08-05","22.05","0.038","0.82","1.05","0.91","24.2","N","Aten"
"(2010 PU66)","2010-08-03","22.19","0.149","0.91","2.07","1.81","18.09","N","Apollo"
"529819 (2010 PM58)","2010-08-01","20.86","0.096","0.74","2","1.61","13.59","N","Apollo"
"(2010 OH126)","2010-07-31","21.3","0.066","0.95","2.83","2.6","14.33","N","Apollo"
"(2010 OK126)","2010-07-30","20.56","0.148","1.08","2.83","2.73","52.57","N","Amor"
"(2010 ON101)","2010-07-30","20.39","0.044","0.96","2.3","2.08","9.31","Y","Apollo"
"414772 (2010 OC103)","2010-07-28","19.14","0.333","0.39","2","1.31","23.11","N","Apollo"
"(2010 OL100)","2010-07-28","19.5","0.131","0.78","3.74","3.4","22.22","N","Apollo"
"(2010 OL101)","2010-07-27","20.4","0.294","1.05","4.17","4.22","26.08","N","Amor"
"(2010 OF101)","2010-07-23","19.79","0.062","0.64","1.26","0.93","23.37","N","Aten"
"(2010 OD101)","2010-07-23","20.72","0.19","1.04","2.2","2.06","15.39","N","Amor"
"(2010 OC101)","2010-07-22","20.7","0.092","0.94","1.5","1.35","13.6","N","Apollo"
"407324 (2010 OB101)","2010-07-18","20.58","0.112","0.77","2.46","2.06","9.13","N","Apollo"
"(2010 OE22)","2010-07-17","21.23","0.182","0.97","4.31","4.3","14.26","N","Apollo"
"441987 (2010 NY65)","2010-07-14","21.36","0.017","0.63","1.37","1.01","11.54","Y","Apollo"
"(2010 NT81)","2010-07-12","21.48","0.05","0.96","1.7","1.53","10.47","Y","Apollo"
"(2010 NB2)","2010-07-10","20.1","0.104","0.5","3.67","3.01","28.69","N","Apollo"
"369454 (2010 NZ1)","2010-07-09","19.09","0.274","0.49","2.26","1.61","32.75","N","Apollo"
"513550 (2010 NG3)","2010-07-08","17.18","0.126","1.13","4.1","4.22","26.99","N","Amor"
"(2010 NU1)","2010-07-06","21.1","0.337","0.48","4.37","3.78","34.63","N","Apollo"
"337P/WISE","2010-07-05","n/a","0.645","1.65","4.92","5.96","15.37","n/a","Jupiter-family Comet"
"482111 (2010 NT1)","2010-07-04","19.43","0.207","1.14","1.78","1.76","39.52","N","Amor"
"365449 (2010 NJ1)","2010-07-03","20.28","0.155","0.44","1.49","0.95","11.22","N","Aten"
"(2010 NG1)","2010-07-02","20.29","0.081","0.57","1.13","0.78","24.74","N","Aten"
"(2010 MU112)","2010-06-30","20.79","0.0006","0.81","2.7","2.33","48.04","Y","Apollo"
"(2010 MA113)","2010-06-25","21.92","0.08","0.89","4.49","4.42","41.04","N","Apollo"
"(2010 MZ112)","2010-06-23","19.8","0.169","0.59","1.87","1.36","23.59","N","Apollo"
"(2010 MY112)","2010-06-23","99.99","0.146","0.81","1.33","1.11","38.58","N","Apollo"
"(2010 MU111)","2010-06-23","18.41","0.064","0.92","3.85","3.69","41.64","N","Apollo"
"499496 (2010 MR87)","2010-06-22","19.49","0.15","1.06","2.41","2.28","34.99","N","Amor"
"(2010 MD127)","2010-06-22","19.94","0.05","0.71","2.83","2.35","19.7","Y","Apollo"
"(2010 LU108)","2010-06-15","19.95","0.121","0.39","4.06","3.33","9.46","N","Apollo"
"C/2010 L4 (WISE)","2010-06-15","n/a","2.53","2.83","157.32","716.5","102.82","n/a","Comet"
"(2010 LU134)","2010-06-14","19.31","0.145","0.86","2.93","2.61","27.37","N","Apollo"
"(2010 LV108)","2010-06-14","22.36","0.003","1.01","4.54","4.63","5.41","N","Apollo"
"C/2010 L5 (WISE)","2010-06-14","n/a","0.113","0.79","15.73","23.74","147.05","n/a","Halley-type Comet*"
"523637 (2010 LT108)","2010-06-13","19.53","0.136","0.85","1.85","1.57","31.87","N","Apollo"
"(2010 LO97)","2010-06-13","18.76","0.224","1.21","3.94","4.14","21.71","N","Amor"
"(2010 LB67)","2010-06-13","99.9","0.682","1.53","4.01","4.61","20.11","N","Mars-crossing Asteroid"
"(2010 LL68)","2010-06-12","22.88","0.139","0.98","3.16","2.98","10.49","N","Apollo"
"(2010 LK68)","2010-06-12","22.42","0.026","0.62","1.72","1.26","21.92","N","Apollo"
"(2010 LE152)","2010-06-11","20.55","0.081","0.97","2.42","2.21","22.07","N","Apollo"
"(2010 LJ68)","2010-06-11","22.7","0.032","0.97","2.57","2.35","17.11","N","Apollo"
"441952 (2010 LR68)","2010-06-08","18.39","0.299","1.28","4.91","5.45","4.71","N","Amor"
"(2010 LJ61)","2010-06-08","20.95","0.052","0.57","1.53","1.07","9.8","N","Apollo"
"386847 (2010 LR33)","2010-06-06","18.06","0.029","0.91","2.47","2.2","5.83","Y","Apollo"
"(2010 LG64)","2010-06-05","19.81","0.057","1.06","4.3","4.38","42.11","N","Amor"
"(2010 LQ33)","2010-06-04","19.56","0.227","1.23","3.31","3.42","24.65","N","Amor"
"398188 Agni","2010-06-03","19.33","0.023","0.63","1.1","0.8","13.25","Y","Aten"
"(2010 LF64)","2010-06-03","99.9","0.406","1.35","6.17","7.29","29.14","N","Outer Main-belt Asteroid"
"529720 (2010 LM14)","2010-06-02","21.3","0.313","0.69","1.53","1.17","25.92","N","Apollo"
"(2010 LH14)","2010-06-02","22.08","0.055","0.94","3.46","3.26","4.67","N","Apollo"
"245P/WISE","2010-06-02","n/a","1.171","2.14","5.88","8.02","21.09","n/a","Jupiter-family Comet"
"529718 (2010 KY127)","2010-05-31","16.83","0.708","0.29","4.69","3.93","60.79","N","Apollo"
"317P/WISE","2010-05-27","n/a","0.241","1.24","4.67","5.08","11.96","n/a","Jupiter-family Comet"
"(2010 KB61)","2010-05-26","20.41","0.051","0.98","1.57","1.44","44.6","N","Apollo"
"(2010 KD149)","2010-05-25","21.48","0.021","0.7","1.08","0.84","14.23","Y","Aten"
"(2010 KJ80)","2010-05-25","19.07","0.294","1.3","3.95","4.25","12.34","N","Amor"
"(2010 KL66)","2010-05-24","19.8","0.182","1.12","3.68","3.72","7.94","N","Amor"
"(2010 KK127)","2010-05-21","20.7","0.277","1.28","3.18","3.33","6.97","N","Amor"
"504827 (2010 KZ117)","2010-05-18","19.09","0.168","1.11","3.43","3.42","33.16","N","Amor"
"(2010 KY39)","2010-05-18","20.11","0.303","1.05","2.43","2.3","25.51","N","Amor"
"365424 (2010 KX7)","2010-05-16","21.91","0.034","0.82","1.16","0.98","21.49","Y","Aten"
"C/2010 KW7 (WISE)","2010-05-16","n/a","1.625","2.57","197.12","997.7","147.06","n/a","Comet"
"(2010 KH)","2010-05-16","19.48","0.378","1.25","4.28","4.61","14.57","N","Amor"
"(2010 JM151)","2010-05-14","19.72","0.112","0.88","2.52","2.21","16.65","N","Apollo"
"404108 (2012 SF51)","2010-05-13","15.4","0.163","0.78","4.23","3.96","20.79","N","Apollo"
"C/2010 J4 (WISE)","2010-05-12","n/a","0.307","1.09","338831.51","69733421.74","162.3","n/a","Comet"
"(2010 JH87)","2010-05-11","19.5","0.222","0.71","2.37","1.91","43.76","N","Apollo"
"(2010 JG87)","2010-05-11","19.2","0.215","0.15","5.39","4.61","16.76","N","Apollo"
"(2010 JF87)","2010-05-11","19.12","0.051","0.92","3.95","3.8","24.92","N","Apollo"
"468727 (2010 JE87)","2010-05-10","20.77","0.035","0.51","1.3","0.86","16.91","Y","Aten"
"P/2010 JC81 (WISE)","2010-05-10","n/a","0.828","1.81","14.46","23.19","38.69","n/a","Halley-type Comet*"
"(2010 JN33)","2010-05-03","20.5","0.257","1.11","2","1.94","53.15","N","Amor"
"(2010 JP15)","2010-05-02","18.86","0.203","1.17","4.4","4.65","40.74","N","Amor"
"381989 (2010 HR80)","2010-04-28","19.87","0.104","0.68","2.02","1.56","26.71","N","Apollo"
"485110 (2010 HZ108)","2010-04-25","20.93","0.108","0.99","1.51","1.4","22.88","N","Apollo"
"395207 (2010 HQ80)","2010-04-25","19.62","0.007","0.8","2.34","1.96","27.85","Y","Apollo"
"(2010 HW81)","2010-04-25","20.24","0.12","0.31","2.21","1.42","13.48","N","Apollo"
"(2010 HZ104)","2010-04-23","22.5","0.028","0.97","3.52","3.37","20.24","N","Apollo"
"(2010 HY22)","2010-04-23","16.73","0.028","1.01","6.3","6.99","44.15","Y","Apollo"
"(2010 HX107)","2010-04-20","23.54","0.014","0.56","1.04","0.72","3.36","N","Aten"
"(2010 HD33)","2010-04-20","18.33","0.374","1.27","3.97","4.24","24.42","N","Amor"
"(2010 GV147)","2010-04-14","18.27","0.316","0.33","1.59","0.94","44.05","N","Aten"
"C/2010 G3 (WISE)","2010-04-14","n/a","4.492","4.91","5138.94","130435.34","108.27","n/a","Comet"
"(2010 GR75)","2010-04-13","19.6","0.299","0.63","2.82","2.27","17.79","N","Apollo"
"(2010 GQ75)","2010-04-12","20.2","0.616","0.34","4.55","3.82","43.3","N","Apollo"
"(2010 GP67)","2010-04-11","22.36","0.019","0.99","1.23","1.18","13.27","N","Apollo"
"614643 (2010 GH65)","2010-04-10","18.87","0.152","1.06","4.37","4.46","21.01","N","Amor"
"(2010 GW62)","2010-04-09","19.36","0.44","0.54","2","1.43","32.43","N","Apollo"
"(2010 GK23)","2010-04-05","19.7","0.097","0.87","4.63","4.56","35","N","Apollo"
"(2010 GT21)","2010-04-04","20.83","0.186","1.19","1.71","1.75","18.52","N","Amor"
"(2010 GF25)","2010-04-02","19.34","0.399","0.37","2.47","1.7","38.49","N","Apollo"
"458135 (2010 GE25)","2010-04-01","20.28","0.225","1.1","3.03","2.97","21.61","N","Amor"
"(2010 FJ81)","2010-03-31","20.48","0.134","1.15","6.07","6.85","42.42","N","Amor"
"510055 (2010 FH81)","2010-03-30","21.51","0.034","0.97","1.48","1.36","16.8","Y","Apollo"
"(2010 FC81)","2010-03-30","21.91","0.027","1.01","4.35","4.38","1.68","Y","Apollo"
"(2010 FB81)","2010-03-30","21.36","0.085","1","4.13","4.12","9.46","N","Apollo"
"(2010 FA81)","2010-03-29","22.42","0.036","1.01","1.38","1.31","15.48","N","Apollo"
"C/2010 FB87 (WISE-Garradd)","2010-03-28","n/a","2.538","2.84","595.69","5177.16","107.63","n/a","Comet"
"(2010 FZ80)","2010-03-28","20.33","0.297","0.7","4.8","4.56","27.34","N","Apollo"
"(2010 FY80)","2010-03-28","19.56","0.14","1.04","4.34","4.42","18.81","N","Amor"
"(2010 FX80)","2010-03-27","20.3","0.535","1.18","3.15","3.19","36.96","N","Amor"
"(2010 FG81)","2010-03-26","23.08","0.02","1.01","2.31","2.14","7.97","N","Apollo"
"(2010 FY103)","2010-03-17","19.7","0.061","0.94","2.42","2.18","29.52","N","Apollo"
"523636 (2010 EX119)","2010-03-13","19.42","0.157","0.77","3.04","2.63","15.55","N","Apollo"
"(2010 EN44)","2010-03-12","24.12","0.024","0.95","1.4","1.28","10.89","N","Apollo"
"(2010 EF181)","2010-03-09","19.48","0.394","1.3","3.08","3.23","23.54","N","Amor"
"414746 (2010 EH20)","2010-03-06","17.86","0.27","1.25","3.99","4.25","23.87","N","Amor"
"C/2010 E3 (WISE)","2010-03-05","n/a","1.545","2.27","580.8","4977.92","96.36","n/a","Comet"
"(2010 EX11)","2010-03-03","24.11","0.03","0.85","1.06","0.94","9.75","N","Aten"
"C/2010 D4 (WISE)","2010-02-28","n/a","6.373","7.15","122.18","520.02","105.66","n/a","Comet"
"C/2010 D3 (WISE)","2010-02-26","n/a","3.586","4.25","22876.41","1223674.65","76.39","n/a","Comet"
"P/2010 D2 (WISE)","2010-02-25","n/a","2.945","3.66","9.72","17.3","57.18","n/a","Jupiter-family Comet*"
"477519 (2010 DJ56)","2010-02-23","19.15","0.029","0.94","1.56","1.4","34.84","Y","Apollo"
"(2010 DJ77)","2010-02-20","21.13","0.049","0.75","1.16","0.93","24.74","Y","Aten"
"(2010 DH56)","2010-02-20","20.31","0.331","0.97","3.5","3.34","33.66","N","Apollo"
"(2010 DK34)","2010-02-20","20.4","0.332","0.65","4.91","4.63","27.41","N","Apollo"
"(2010 DH77)","2010-02-19","21.06","0.15","0.95","5.58","5.91","34.33","N","Apollo"
"(2010 DG77)","2010-02-19","20.32","0.009","0.96","4.52","4.54","16.73","Y","Apollo"
"445305 (2010 DM56)","2010-02-18","19.73","0.006","0.92","1.69","1.49","25.6","Y","Apollo"
"C/2010 DG56 (WISE)","2010-02-18","n/a","0.65","1.59","133.49","555.05","160.42","n/a","Comet"
"356P/WISE","2010-02-17","n/a","1.703","2.69","5.64","8.49","9.63","n/a","Jupiter-family Comet"
"(2010 DM21)","2010-02-16","20.26","0.257","0.98","4.74","4.84","21.16","N","Apollo"
"(2010 CN141)","2010-02-14","22.4","0.061","0.91","2.12","1.87","23.8","N","Apollo"
"(2010 CP140)","2010-02-13","19.44","0.097","0.88","2.92","2.62","14.47","N","Apollo"
"(2010 CJ188)","2010-02-11","99.99","0.046","1.02","2.05","1.91","22.16","n/a","Amor"
"(2010 CC55)","2010-02-11","22.44","0.079","0.82","2.27","1.92","6.78","N","Apollo"
"(2010 CH18)","2010-02-09","18.98","0.328","1.11","4.09","4.2","27.17","N","Amor"
"(2010 CA55)","2010-02-05","22.2","0.138","0.67","4","3.57","55.03","N","Apollo"
"504800 (2010 CO1)","2010-01-31","21.48","0.022","0.79","1.23","1.02","24.02","Y","Apollo"
"(2010 BO127)","2010-01-31","18.65","0.146","0.94","4.48","4.46","13.74","N","Apollo"
"412P/WISE","2010-01-22","n/a","0.625","1.61","4.6","5.48","8.94","n/a","Encke-type Comet"
"477490 (2010 CG18)","2010-01-19","20.59","0.13","1.11","1.76","1.73","10.16","N","Amor"
"436329 (2010 GX62)","2010-01-16","20.09","0.003","0.89","5.05","5.12","21.83","Y","Apollo"
"(2010 BV132)","2010-01-16","21.39","0.023","1.01","1.45","1.36","17.28","Y","Apollo"
"(2010 AU118)","2010-01-13","99.9","0.355","1.34","3.35","3.59","42.73","N","Mars-crossing Asteroid"
"(2010 AG79)","2010-01-13","20.04","0.232","1.21","4.58","4.93","33.04","N","Amor"
"614599 (2010 AB78)","2010-01-12","18.31","0.207","1.02","3.49","3.39","33.25","N","Amor"
"606908 (2019 KB2)","2006-02-25","18.32","0.44","1.17","4.1","4.28","24.96","N","Amor"